,exp_id,model_id,test_score,test_score_variance,train_score,train_score_variance
0,684,relieff_plsr,0.51994301994302,0.0010816470645530457,0.5294117647058824,0.00020943810869283319
1,559,relieff_plsr,0.5,0.00022603306791340897,0.5294117647058824,0.00010808883246998772
2,629,relieff_plsr,0.5,0.001041793491935943,0.5196078431372549,0.0001281084425880808
3,192,relieff_plsr,0.5,0.00023668639053254408,0.5,0.00013071895424836605
4,835,relieff_plsr,0.5384615384615384,0.0015384615384615365,0.5294117647058824,0.00020415452409064313
5,763,relieff_plsr,0.51994301994302,0.0009406579492049587,0.5098039215686274,9.909707008456034e-05
6,707,relieff_plsr,0.5,0.0017162807120072085,0.5288461538461539,0.000290915646917777
7,359,relieff_plsr,0.5,0.00023895909935795948,0.5098039215686274,7.543753085408693e-05
8,9,relieff_plsr,0.5384615384615384,0.0007967467796527614,0.5294117647058824,6.270346634999309e-05
9,723,relieff_plsr,0.5,0.002918706016996614,0.5196078431372549,0.0001281084425880808
10,277,relieff_plsr,0.5,0.0006969099276791582,0.5196078431372549,0.00013161187435874698
11,754,relieff_plsr,0.5,0.0009467455621301763,0.5294117647058824,0.00020761245674740485
12,804,relieff_plsr,0.5,0.0016717396774376839,0.5098039215686274,6.196410574904089e-05
13,599,relieff_plsr,0.5,0.0002481919789612091,0.5196078431372549,0.00024344869633663872
14,70,relieff_plsr,0.5,0.00183732274900366,0.5288461538461539,9.912550703075057e-05
15,472,relieff_plsr,0.5384615384615384,0.0008399079552925693,0.5196078431372549,3.846950080647195e-05
16,600,relieff_plsr,0.5,0.001577503429355282,0.5192307692307693,0.00020793095054473895
17,396,relieff_plsr,0.5,0.0021301775147929006,0.5196078431372549,3.919179923970997e-05
18,314,relieff_plsr,0.51994301994302,0.0002050308033214013,0.5288461538461539,0.00015162010969836382
19,705,relieff_plsr,0.51994301994302,0.00021217360248699241,0.5196078431372549,0.0001777650380258849
20,486,relieff_plsr,0.51994301994302,0.0009607064877720156,0.5196078431372549,6.094606307542186e-05
21,551,relieff_plsr,0.5014245014245013,0.00037745229340670927,0.5098039215686274,9.646380886732257e-05
22,87,relieff_plsr,0.5384615384615384,0.002452415158967867,0.5196078431372549,0.0001281084425880808
23,174,relieff_plsr,0.5,0.00023668639053254408,0.5196078431372549,0.00020583230391588207
24,600,relieff_plsr,0.5,0.001577503429355282,0.5192307692307693,0.00020793095054473895
25,849,relieff_plsr,0.5,0.0010913872452333999,0.5294117647058824,0.0001893673120715978
26,677,relieff_plsr,0.5,0.0020233399079552937,0.5196078431372549,9.93869113424702e-05
27,537,relieff_plsr,0.51994301994302,0.001638298390435143,0.5196078431372549,3.846950080647195e-05
28,845,relieff_plsr,0.5,0.0009681130834976976,0.5294117647058824,0.0001768550557477891
29,72,relieff_plsr,0.5,0.0009467455621301763,0.5294117647058824,9.18797731414182e-05
