,exp_id,model_id,test_score,test_score_variance,train_score,train_score_variance
0,684,ReliefFSelection_PLSREstimator,0.516025641025641,0.0003862590401051934,0.5038838612368024,2.2630121778378206e-05
1,559,ReliefFSelection_PLSREstimator,0.524002849002849,0.0013875496140453379,0.5176093514328808,0.00013131613011836603
2,629,ReliefFSelection_PLSREstimator,0.520014245014245,0.000322055015787209,0.5078431372549019,5.3825451749327325e-05
3,192,ReliefFSelection_PLSREstimator,0.5153846153846153,0.0003550295857988161,0.5116892911010558,5.26652243447562e-05
4,835,ReliefFSelection_PLSREstimator,0.5153846153846153,0.0009467455621301763,0.5136877828054299,6.181623362885043e-05
5,763,ReliefFSelection_PLSREstimator,0.527065527065527,0.0005413917094828771,0.5117269984917043,1.553226000923656e-05
6,707,ReliefFSelection_PLSREstimator,0.5153846153846153,0.00035502958579881617,0.5136500754147812,6.0650318835041035e-05
7,359,ReliefFSelection_PLSREstimator,0.5153846153846153,0.00035502958579881617,0.5058823529411764,2.3068050749711484e-05
8,9,ReliefFSelection_PLSREstimator,0.5153846153846153,0.00035502958579881617,0.5156108597285067,2.2499311825902548e-05
9,723,ReliefFSelection_PLSREstimator,0.5153846153846153,0.0003550295857988161,0.5136500754147812,6.0650318835041035e-05
10,684,MutualInformationSelection_PLSREstimator,0.523076923076923,0.00035502958579881606,0.5214555052790347,1.365542156066501e-05
11,559,MutualInformationSelection_PLSREstimator,0.5076923076923077,0.00023668639053254408,0.5136123680241327,0.00017335731136636128
12,629,MutualInformationSelection_PLSREstimator,0.5076923076923077,0.00023668639053254408,0.5156485671191553,6.196410574904089e-05
13,192,MutualInformationSelection_PLSREstimator,0.5116809116809117,0.0005238593842582437,0.5098039215686274,0.00023068050749711614
14,835,MutualInformationSelection_PLSREstimator,0.5153846153846153,0.0009467455621301763,0.515686274509804,9.996155324875074e-05
15,763,MutualInformationSelection_PLSREstimator,0.5076923076923077,0.00023668639053254408,0.5078431372549019,0.00013071895424836605
16,707,MutualInformationSelection_PLSREstimator,0.5198717948717949,0.001579552925706771,0.5058446455505279,2.2777993898568667e-05
17,359,MutualInformationSelection_PLSREstimator,0.5264957264957265,0.001098692380743662,0.5176093514328808,5.442262761932743e-05
18,9,MutualInformationSelection_PLSREstimator,0.527065527065527,0.0008262919943831614,0.5136500754147812,9.909707008456034e-05
19,723,MutualInformationSelection_PLSREstimator,0.536965811965812,0.00214570092775221,0.5195324283559577,3.846950080647195e-05
20,684,FScoreSelection_PLSREstimator,0.5076923076923077,0.00023668639053254408,0.5156485671191553,0.0001388576082480796
21,559,FScoreSelection_PLSREstimator,0.48888888888888893,0.0004938271604938276,0.5292609351432881,0.0003047075658201557
22,629,FScoreSelection_PLSREstimator,0.4925925925925926,0.00021947873799725651,0.5176470588235295,9.227220299884672e-05
23,192,FScoreSelection_PLSREstimator,0.4847578347578348,0.0002060859895617727,0.5214177978883862,0.0001639333073988382
24,835,FScoreSelection_PLSREstimator,0.4925925925925926,8.230452674897096e-05,0.5136500754147812,6.0650318835041035e-05
25,763,FScoreSelection_PLSREstimator,0.5039886039886039,0.00034853613201191484,0.5254901960784314,0.00025374855824682847
26,707,FScoreSelection_PLSREstimator,0.5,0.0,0.5214932126696832,0.00016948419929521845
27,359,FScoreSelection_PLSREstimator,0.5,0.0,0.5137254901960784,9.996155324875074e-05
28,9,FScoreSelection_PLSREstimator,0.507977207977208,0.00038035405556773017,0.5175716440422322,1.5105705816379466e-05
29,723,FScoreSelection_PLSREstimator,0.516025641025641,0.0003862590401051934,0.5175716440422322,5.3552457065898955e-05
30,684,WilcoxonSelection_PLSREstimator,0.5156695156695157,0.001086030145859204,0.5273001508295626,8.881427034208523e-05
31,559,WilcoxonSelection_PLSREstimator,0.5277065527065526,0.00025082994456213786,0.5253770739064857,2.2232004531711588e-05
32,629,WilcoxonSelection_PLSREstimator,0.516025641025641,0.0003862590401051934,0.5195324283559578,3.846950080647195e-05
33,192,WilcoxonSelection_PLSREstimator,0.5237179487179486,0.0003763971071663374,0.5253770739064857,2.2232004531711588e-05
34,835,WilcoxonSelection_PLSREstimator,0.527065527065527,0.0022946242319461696,0.5273378582202112,5.343302189189828e-05
35,763,WilcoxonSelection_PLSREstimator,0.5354700854700856,0.0010439038644166857,0.5254524886877828,0.00010115021759951221
36,707,WilcoxonSelection_PLSREstimator,0.5314102564102564,0.0008399079552925695,0.5195324283559577,3.846950080647195e-05
37,359,WilcoxonSelection_PLSREstimator,0.5196581196581197,0.000625319599678574,0.5273755656108597,1.65844270182837e-05
38,9,WilcoxonSelection_PLSREstimator,0.5316951566951567,0.0009700611196337674,0.5214932126696833,1.569719429714095e-05
39,723,WilcoxonSelection_PLSREstimator,0.5237179487179486,0.0003763971071663374,0.5136123680241327,9.646380886732257e-05
40,684,ANOVAFvalueSelection_PLSREstimator,0.5076923076923077,0.00023668639053254408,0.5156485671191553,0.0001388576082480796
41,559,ANOVAFvalueSelection_PLSREstimator,0.4925925925925926,0.00021947873799725651,0.5077677224736048,5.2073735863994184e-05
42,629,ANOVAFvalueSelection_PLSREstimator,0.5008547008547009,2.922054204105466e-06,0.5254901960784314,0.00017685505574778918
43,192,ANOVAFvalueSelection_PLSREstimator,0.5,0.0,0.5,0.0
44,835,ANOVAFvalueSelection_PLSREstimator,0.507977207977208,0.0002326279819157311,0.5214932126696833,0.00013103744804569934
45,763,ANOVAFvalueSelection_PLSREstimator,0.5076923076923077,0.00023668639053254408,0.5098039215686274,0.00011534025374855829
