,exp_id,model_id,test_score,test_score_variance,train_score,train_score_variance
0,684,relieff_plsr,0.6204879679144384,0.00486338360481427,0.9174571805006588,0.00020583028511527368
1,559,relieff_plsr,0.7408645276292335,0.0060583890748205,0.8681609574000879,0.0008781694556133255
2,629,relieff_plsr,0.5880681818181819,0.010189987680494695,0.895625,0.0005418001847310554
3,192,relieff_plsr,0.7545876305067482,0.0006736726406134784,0.8728414580588494,8.518868450829083e-05
4,835,relieff_plsr,0.6688311688311688,0.011251959391020992,0.8992204655248133,0.00017078487371278265
5,763,relieff_plsr,0.7066144639674051,0.008613813878406444,0.8981295289855072,0.0005201167214519166
6,707,relieff_plsr,0.6295995670995671,0.0035444493867673476,0.9252173913043479,0.00010611735467212876
7,359,relieff_plsr,0.6306818181818182,0.012909284725349994,0.9333514492753623,0.00023235048746942714
8,9,relieff_plsr,0.7950487012987013,0.0005989424943733769,0.8835507246376811,9.781039549858347e-05
9,723,relieff_plsr,0.6463744588744589,0.0009246534940138755,0.9140172101449275,8.281475641520853e-05
10,277,relieff_plsr,0.6976938502673797,0.008087193790045397,0.8452799736495389,0.00054467574245066
11,754,relieff_plsr,0.5820799910873441,0.005481187926899357,0.9031082564778217,0.00010701797474235834
12,804,relieff_plsr,0.6738206646294882,0.003005170653047923,0.9281093544137022,4.888413773274722e-05
13,599,relieff_plsr,0.7444773363891011,0.004106357641906218,0.8891304347826086,9.749435107514156e-05
14,70,relieff_plsr,0.5819964349376113,0.0011972906161330204,0.9228260869565217,0.00021759877300240725
15,472,relieff_plsr,0.612689393939394,0.005806086180091669,0.918695652173913,0.00015377280071764406
16,600,relieff_plsr,0.6193102240896358,0.007317559098059898,0.8738677536231884,5.497319709462509e-05
17,396,relieff_plsr,0.678030303030303,0.009921146891015156,0.8934782608695653,0.000132165287468344
18,314,relieff_plsr,0.620376559714795,0.019551730382514176,0.9232839262187088,0.00018339316378686464
19,705,relieff_plsr,0.6372628596893303,0.005707367892744323,0.895054347826087,0.0006094629453963502
20,486,relieff_plsr,0.6431277056277056,0.0037099316695248276,0.888804347826087,0.00013914085812151438
21,551,relieff_plsr,0.6766774891774892,0.006635763049750772,0.8722347112428634,0.00012493060341903678
22,87,relieff_plsr,0.6092158454290808,0.013266643751335355,0.8718717061923584,0.0017508374844626313
23,174,relieff_plsr,0.6519050802139037,0.00345621195110985,0.9234601449275363,3.5357106764282745e-05
24,600,relieff_plsr,0.6694041252864782,0.0007442421548103938,0.9327377031181379,5.489591004599641e-05
25,849,relieff_plsr,0.7159090909090908,0.006484497752572915,0.9263746157224417,7.753773720622507e-05
26,677,relieff_plsr,0.6726548573975044,0.0063794902790041165,0.8514525691699604,0.0005840680974845407
27,537,relieff_plsr,0.6875,0.0058496483385122,0.9132608695652173,0.0006989648003985272
28,845,relieff_plsr,0.5807987967914439,0.012682485499991956,0.9058695652173914,0.0002930223869343035
29,72,relieff_plsr,0.6986686720142602,0.0048822607572833274,0.8757586736934562,0.0011937745708951422
