,exp_id,oob_avg_score,oob_std_score,oob_median_score,oob_score_ci,test_loss,trainig_loss,test_loss_var,trainig_loss_var,model_params,params
22,0,0.6157016406446687,0.02192077109984021,0.6162464985994398,"(0.5833333333333333, 0.6496088657105606)","{0: 0.4, 1: 0.3979591836734694, 2: 0.38, 3: 0.36}","{0: 0.3535353535353535, 1: 0.3787878787878788, 2: 0.38888888888888884, 3: 0.38888888888888884}","{0: 0.0013205146003979777, 1: 1.861261511407314e-05, 2: 0.0011177935119626064, 3: 0.00010340136054421741}","{0: 0.002703391377297106, 1: 0.0048318969719643055, 2: 0.0019148663968529313, 3: 0.003227768141572851}","{'selector__k': 6.0, 'selector__num_features': 4}","{0: {'clf__priors': None, 'selector__k': 9, 'selector__num_features': 3}, 1: {'clf__priors': None, 'selector__k': 8, 'selector__num_features': 3}, 2: {'clf__priors': None, 'selector__k': 12, 'selector__num_features': 3}, 3: {'clf__priors': None, 'selector__k': 6, 'selector__num_features': 4}}"
23,1,0.6108860685946025,0.03026002618075963,0.6185410334346505,"(0.5545069337442219, 0.6430995475113122)","{0: 0.37755102040816324, 1: 0.38, 2: 0.4, 3: 0.41836734693877553}","{0: 0.4149999999999999, 1: 0.38888888888888895, 2: 0.365, 3: 0.4}","{0: 0.0015174325512517961, 1: 2.899717710213314e-05, 2: 0.0004429265583784518, 3: 0.0016967374704984026}","{0: 0.0009847572243195126, 1: 5.5030665805076647e-05, 2: 3.85612579215272e-05, 3: 0.002761849697876635}","{'selector__k': 12.0, 'selector__num_features': 4}","{0: {'clf__priors': None, 'selector__k': 12, 'selector__num_features': 4}, 1: {'clf__priors': None, 'selector__k': 3, 'selector__num_features': 4}, 2: {'clf__priors': None, 'selector__k': 2, 'selector__num_features': 9}, 3: {'clf__priors': None, 'selector__k': 10, 'selector__num_features': 2}}"
24,0,0.642385535265823,0.028448747831279157,0.630718954248366,"(0.6104954367666232, 0.6832983193277311)","{0: 0.3979591836734694, 1: 0.38, 2: 0.5, 3: 0.36}","{0: 0.2777777777777779, 1: 0.3232323232323231, 2: 0.5, 3: 0.28}","{0: 0.004292989032347633, 1: 0.0010237215974825287, 2: 0.0, 3: 0.004817835161275389}","{0: 0.0029903978052126198, 1: 0.002676044961398489, 2: 0.0, 3: 0.000519411851398384}","{'clf__C': 4511.190905312403, 'clf__random_state': 510, 'clf__tol': 0.011919422072882168, 'selector__bootstrap': 1, 'selector__criterion': 1, 'selector__max_depth': 0, 'selector__max_features': 3, 'selector__max_features.frac': 0.34212702531355066, 'selector__min_samples_leaf': 0, 'selector__n_estimators': 115.0, 'selector__random_state': 900}","{0: {'clf__C': 0.44099940761849127, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 239, 'clf__tol': 0.07996701508721893, 'selector__bootstrap': True, 'selector__criterion': 'entropy', 'selector__max_depth': None, 'selector__max_features': 'sqrt', 'selector__min_samples_leaf': 1, 'selector__min_samples_split': 2, 'selector__n_estimators': 93, 'selector__random_state': 236}, 1: {'clf__C': 15447.503768903112, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 775, 'clf__tol': 1.6272463137616632e-05, 'selector__bootstrap': True, 'selector__criterion': 'gini', 'selector__max_depth': 4, 'selector__max_features': None, 'selector__min_samples_leaf': 1, 'selector__min_samples_split': 2, 'selector__n_estimators': 1414, 'selector__random_state': 107}, 2: {'clf__C': 1.8776063563226962e-05, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 823, 'clf__tol': 8.74993406133266e-06, 'selector__bootstrap': False, 'selector__criterion': 'entropy', 'selector__max_depth': None, 'selector__max_features': 0.7727247346328644, 'selector__min_samples_leaf': 37, 'selector__min_samples_split': 2, 'selector__n_estimators': 126, 'selector__random_state': 301}, 3: {'clf__C': 4511.190905312403, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 510, 'clf__tol': 0.011919422072882168, 'selector__bootstrap': True, 'selector__criterion': 'entropy', 'selector__max_depth': None, 'selector__max_features': 0.34212702531355066, 'selector__min_samples_leaf': 1, 'selector__min_samples_split': 2, 'selector__n_estimators': 115, 'selector__random_state': 900}}"
25,1,0.6585345939330157,0.035187154427938024,0.6565656565656566,"(0.6119029275808938, 0.7187028657616893)","{0: 0.3571428571428572, 1: 0.33999999999999997, 2: 0.41999999999999993, 3: 0.5}","{0: 0.31000000000000005, 1: 0.35858585858585856, 2: 0.3787878787878788, 3: 0.5}","{0: 0.007731972789115647, 1: 0.0008459067980933844, 2: 0.005447656069230404, 3: 0.0}","{0: 0.006678481787572694, 1: 0.0012746324071239879, 2: 0.004942842567084997, 3: 0.0}","{'clf__C': 5996.8033530845805, 'clf__random_state': 491, 'clf__tol': 0.0002481892050457547, 'selector__bootstrap': 0, 'selector__criterion': 1, 'selector__max_depth': 0, 'selector__max_features': 2, 'selector__min_samples_leaf': 1, 'selector__min_samples_leaf.gt1': 6.0, 'selector__n_estimators': 147.0, 'selector__random_state': 735}","{0: {'clf__C': 37.01921899210486, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 292, 'clf__tol': 2.8369455235043378e-06, 'selector__bootstrap': True, 'selector__criterion': 'gini', 'selector__max_depth': None, 'selector__max_features': 'sqrt', 'selector__min_samples_leaf': 1, 'selector__min_samples_split': 2, 'selector__n_estimators': 2269, 'selector__random_state': 132}, 1: {'clf__C': 5996.8033530845805, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 491, 'clf__tol': 0.0002481892050457547, 'selector__bootstrap': False, 'selector__criterion': 'entropy', 'selector__max_depth': None, 'selector__max_features': None, 'selector__min_samples_leaf': 6, 'selector__min_samples_split': 2, 'selector__n_estimators': 147, 'selector__random_state': 735}, 2: {'clf__C': 4507.707327049383, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 933, 'clf__tol': 0.05447103596981671, 'selector__bootstrap': True, 'selector__criterion': 'gini', 'selector__max_depth': None, 'selector__max_features': 0.0439290832716116, 'selector__min_samples_leaf': 2, 'selector__min_samples_split': 2, 'selector__n_estimators': 209, 'selector__random_state': 734}, 3: {'clf__C': 2.5065023541106972e-05, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 586, 'clf__tol': 0.00011059926450595876, 'selector__bootstrap': True, 'selector__criterion': 'gini', 'selector__max_depth': None, 'selector__max_features': 0.6868599301873679, 'selector__min_samples_leaf': 22, 'selector__min_samples_split': 2, 'selector__n_estimators': 720, 'selector__random_state': 898}}"
26,0,0.8138414941523472,0.01930494699157856,0.8196778711484595,"(0.7767106842737095, 0.832908163265306)","{0: 0.5, 1: 0.21000000000000008, 2: 0.18000000000000005, 3: 0.5}","{0: 0.5, 1: 0.0, 2: 0.0, 3: 0.5}","{0: 0.0, 1: 0.0016524318570965808, 2: 0.0006375954463418, 3: 0.0}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}","{'clf__C': 44539.24926537371, 'clf__random_state': 526, 'clf__tol': 1.9582056976278408e-05}","{0: {'clf__C': 0.015116130976611894, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 946, 'clf__tol': 0.00026930016227426796}, 1: {'clf__C': 16.869318046352046, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 988, 'clf__tol': 0.0004516695623193216}, 2: {'clf__C': 44539.24926537371, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 526, 'clf__tol': 1.9582056976278408e-05}, 3: {'clf__C': 2.3251318939774698e-05, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 163, 'clf__tol': 0.0004400061132034209}}"
27,1,0.7570108046190861,0.037745611740150155,0.7447996918335902,"(0.705050505050505, 0.8161764705882353)","{0: 0.25, 1: 0.35, 2: 0.5, 3: 0.5}","{0: 0.0, 1: 0.31818181818181823, 2: 0.5, 3: 0.5}","{0: 0.0009746772178259038, 1: 0.0003275394511546112, 2: 0.0, 3: 0.0}","{0: 0.0, 1: 0.00024467401285583294, 2: 0.0, 3: 0.0}","{'clf__C': 53145.49314644718, 'clf__random_state': 956, 'clf__tol': 1.5767147739975036e-05}","{0: {'clf__C': 53145.49314644718, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 956, 'clf__tol': 1.5767147739975036e-05}, 1: {'clf__C': 0.05172537294241282, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 121, 'clf__tol': 0.0032600552639418623}, 2: {'clf__C': 0.005107240225182663, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 591, 'clf__tol': 0.0026169004349060588}, 3: {'clf__C': 1.0738090130040246e-05, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 423, 'clf__tol': 0.014190413837139823}}"
28,0,0.7992587314514391,0.021797224488366684,0.8048469387755102,"(0.7634803921568627, 0.8224400871459695)","{0: 0.20000000000000007, 1: 0.20999999999999996, 2: 0.3999999999999999, 3: 0.5}","{0: 0.010101010101010166, 1: 0.0, 2: 0.3450000000000001, 3: 0.5}","{0: 0.0013101578046184439, 1: 0.00048536258040631115, 2: 0.0038437688000370215, 3: 0.0}","{0: 0.0001054455894523236, 1: 0.0, 2: 3.8466029543470495e-05, 3: 0.0}","{'clf__C': 6.825221259028344, 'clf__random_state': 41, 'clf__tol': 2.8514351039926438e-05, 'selector__num_features': 0, 'selector__num_neighbors': 159847.0}","{0: {'clf__C': 6.825221259028344, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 41, 'clf__tol': 2.8514351039926438e-05, 'selector__num_features': 0, 'selector__num_neighbors': 159847.0}, 1: {'clf__C': 3867.5711908093026, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 173, 'clf__tol': 1.0158397850948734e-05, 'selector__num_features': 0, 'selector__num_neighbors': 162364.0}, 2: {'clf__C': 533.6387354098698, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 791, 'clf__tol': 8.95491479693302e-06, 'selector__num_features': 7, 'selector__num_neighbors': 26820.0}, 3: {'clf__C': 0.0025388177328253643, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 244, 'clf__tol': 0.024799710924166978, 'selector__num_features': 8, 'selector__num_neighbors': 11002.0}}"
29,1,0.6153151071956358,0.031612938425238386,0.6050151975683891,"(0.5707070707070706, 0.6604449472096531)","{0: 0.4285714285714286, 1: 0.4693877551020409, 2: 0.510204081632653, 3: 0.4693877551020409}","{0: 0.36, 1: 0.3787878787878788, 2: 0.404040404040404, 3: 0.3787878787878788}","{0: 0.0007814058956916113, 1: 0.006062668332639181, 2: 0.0084258595955389, 3: 0.00445858669998612}","{0: 0.0003015474611434211, 1: 0.00041847260483624145, 2: 0.00028310093074402883, 3: 0.0002972831570474675}","{'clf__C': 6.056657399755797, 'clf__random_state': 950, 'clf__tol': 1.4771383226495498e-05, 'selector__num_features': 7, 'selector__num_neighbors': 47314.0}","{0: {'clf__C': 6.056657399755797, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 950, 'clf__tol': 1.4771383226495498e-05, 'selector__num_features': 7, 'selector__num_neighbors': 47314.0}, 1: {'clf__C': 0.8545839604059674, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 163, 'clf__tol': 4.0603351133086905e-05, 'selector__num_features': 5, 'selector__num_neighbors': 15703.0}, 2: {'clf__C': 0.108275863280429, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 857, 'clf__tol': 0.00651843823374701, 'selector__num_features': 2, 'selector__num_neighbors': 7158.0}, 3: {'clf__C': 73.89231992179795, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 210, 'clf__tol': 2.371175487217886e-05, 'selector__num_features': 5, 'selector__num_neighbors': 10299.0}}"
30,0,0.6383501176799852,0.0357218000963547,0.6275510204081632,"(0.5994397759103641, 0.7047930283224401)","{0: 0.3999999999999999, 1: 0.37755102040816324, 2: 0.5, 3: 0.5}","{0: 0.3535353535353535, 1: 0.31313131313131304, 2: 0.5, 3: 0.5}","{0: 8.275255680503524e-05, 1: 0.0024126706464898838, 2: 0.0, 3: 0.0}","{0: 0.004298180457776415, 1: 0.004952081987098824, 2: 0.0, 3: 0.0}","{'clf__C': 3867.5711908093026, 'clf__random_state': 173, 'clf__tol': 1.0158397850948734e-05, 'selector__k': 8.0, 'selector__num_features': 3}","{0: {'clf__C': 587.8902901517976, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 822, 'clf__tol': 0.08469938429138986, 'selector__k': 9, 'selector__num_features': 3}, 1: {'clf__C': 3867.5711908093026, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 173, 'clf__tol': 1.0158397850948734e-05, 'selector__k': 8, 'selector__num_features': 3}, 2: {'clf__C': 6.568085999838003e-05, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 522, 'clf__tol': 0.03484912420933388, 'selector__k': 12, 'selector__num_features': 3}, 3: {'clf__C': 0.0008215924124914868, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 3, 'clf__tol': 1.5248383173233391e-06, 'selector__k': 6, 'selector__num_features': 4}}"
31,1,0.5808099964471064,0.0460337209138773,0.5943768996960487,"(0.5298536209553159, 0.6508295625942685)","{0: 0.3900000000000001, 1: 0.38, 2: 0.5, 3: 0.5}","{0: 0.38, 1: 0.375, 2: 0.5, 3: 0.5}","{0: 0.0038340228608450162, 1: 0.0022041186542644284, 2: 0.0, 3: 0.0}","{0: 0.00034473579793445217, 1: 0.00025117901801403495, 2: 0.0, 3: 0.0}","{'clf__C': 19.25770287965853, 'clf__random_state': 676, 'clf__tol': 7.66406855539818e-05, 'selector__k': 3.0, 'selector__num_features': 4}","{0: {'clf__C': 0.067937870536508, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 594, 'clf__tol': 0.07290095551256325, 'selector__k': 12, 'selector__num_features': 4}, 1: {'clf__C': 19.25770287965853, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 676, 'clf__tol': 7.66406855539818e-05, 'selector__k': 3, 'selector__num_features': 4}, 2: {'clf__C': 0.001917202385546166, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 249, 'clf__tol': 0.0001492364917096759, 'selector__k': 2, 'selector__num_features': 9}, 3: {'clf__C': 0.006327113450513198, 'clf__fit_intercept': True, 'clf__intercept_scaling': 1, 'clf__penalty': 'l1', 'clf__random_state': 550, 'clf__tol': 1.0362475635696462e-06, 'selector__k': 10, 'selector__num_features': 2}}"
32,0,0.7430468014416848,0.020984786766421862,0.7454481792717087,"(0.7058823529411764, 0.7650689905591865)","{0: 0.30879999999999996, 1: 0.3376, 2: 0.33319999999999994, 3: 0.358}","{0: 0.21905927966534022, 1: 0.2747678808284869, 2: 0.26548311396796254, 3: 0.20395877971635545}","{0: 0.003792759260601632, 1: 0.002928528145700476, 2: 0.003224394684879256, 3: 0.0045490558582588865}","{0: 0.002495802050937127, 1: 0.002515471446478688, 2: 0.0026718567661963865, 3: 0.0002309115312080275}","{'clf__n_components': 6.0, 'clf__tol': 8.744732545915628e-06, 'selector__bootstrap': 1, 'selector__criterion': 1, 'selector__max_depth': 0, 'selector__max_features': 0, 'selector__min_samples_leaf': 0, 'selector__n_estimators': 93.0, 'selector__random_state': 236}","{0: {'clf__n_components': 6, 'clf__tol': 8.744732545915628e-06, 'selector__bootstrap': True, 'selector__criterion': 'entropy', 'selector__max_depth': None, 'selector__max_features': 'sqrt', 'selector__min_samples_leaf': 1, 'selector__min_samples_split': 2, 'selector__n_estimators': 93, 'selector__random_state': 236}, 1: {'clf__n_components': 3, 'clf__tol': 5.331777011731635e-08, 'selector__bootstrap': True, 'selector__criterion': 'gini', 'selector__max_depth': 4, 'selector__max_features': None, 'selector__min_samples_leaf': 1, 'selector__min_samples_split': 2, 'selector__n_estimators': 1414, 'selector__random_state': 107}, 2: {'clf__n_components': 12, 'clf__tol': 3.674539059074302e-08, 'selector__bootstrap': False, 'selector__criterion': 'entropy', 'selector__max_depth': None, 'selector__max_features': 0.7727247346328644, 'selector__min_samples_leaf': 37, 'selector__min_samples_split': 2, 'selector__n_estimators': 126, 'selector__random_state': 301}, 3: {'clf__n_components': 9, 'clf__tol': 2.790956831470569e-06, 'selector__bootstrap': True, 'selector__criterion': 'entropy', 'selector__max_depth': None, 'selector__max_features': 0.34212702531355066, 'selector__min_samples_leaf': 1, 'selector__min_samples_split': 2, 'selector__n_estimators': 115, 'selector__random_state': 900}}"
33,1,0.6919159719103529,0.040044492022729604,0.6656394453004622,"(0.6574468085106382, 0.7582956259426847)","{0: 0.40524781341107874, 1: 0.2891999999999999, 2: 0.4252394835485215, 3: 0.3240316534777177}","{0: 0.26039999999999996, 1: 0.29389999999999994, 2: 0.4101622283440465, 3: 0.24252627282930317}","{0: 0.01251355658188528, 1: 0.00017886100618949783, 2: 0.0032791195282558584, 3: 0.0012472988260136344}","{0: 0.017026137182717907, 1: 0.00011642456805589605, 2: 0.007032661568896637, 3: 0.00048733513038208835}","{'clf__n_components': 21.0, 'clf__tol': 2.7344484018835194e-07, 'selector__bootstrap': 0, 'selector__criterion': 1, 'selector__max_depth': 0, 'selector__max_features': 2, 'selector__min_samples_leaf': 1, 'selector__min_samples_leaf.gt1': 6.0, 'selector__n_estimators': 147.0, 'selector__random_state': 735}","{0: {'clf__n_components': 24, 'clf__tol': 1.8694359831741932e-08, 'selector__bootstrap': True, 'selector__criterion': 'gini', 'selector__max_depth': None, 'selector__max_features': 'sqrt', 'selector__min_samples_leaf': 1, 'selector__min_samples_split': 2, 'selector__n_estimators': 2269, 'selector__random_state': 132}, 1: {'clf__n_components': 21, 'clf__tol': 2.7344484018835194e-07, 'selector__bootstrap': False, 'selector__criterion': 'entropy', 'selector__max_depth': None, 'selector__max_features': None, 'selector__min_samples_leaf': 6, 'selector__min_samples_split': 2, 'selector__n_estimators': 147, 'selector__random_state': 735}, 2: {'clf__n_components': 27, 'clf__tol': 6.945433877269359e-06, 'selector__bootstrap': True, 'selector__criterion': 'gini', 'selector__max_depth': None, 'selector__max_features': 0.0439290832716116, 'selector__min_samples_leaf': 2, 'selector__min_samples_split': 2, 'selector__n_estimators': 209, 'selector__random_state': 734}, 3: {'clf__n_components': 30, 'clf__tol': 1.683648172710037e-07, 'selector__bootstrap': True, 'selector__criterion': 'gini', 'selector__max_depth': None, 'selector__max_features': 0.6868599301873679, 'selector__min_samples_leaf': 22, 'selector__min_samples_split': 2, 'selector__n_estimators': 720, 'selector__random_state': 898}}"
34,0,0.7266878137746825,0.017808874788116016,0.7307422969187676,"(0.6986794717887155, 0.7476397966594046)","{0: 0.24448146605581011, 1: 0.24448146605581011, 2: 0.26738858808829646, 3: 0.2671999999999999}","{0: 0.031221303948576695, 1: 0.031221303948576695, 2: 0.019181716151413175, 3: 0.12}","{0: 0.0017564986380453082, 1: 0.0017564986380453082, 2: 0.0014718180566140372, 3: 7.058753667453319e-05}","{0: 6.953114215554116e-05, 1: 6.953114215554116e-05, 2: 0.00013222850562817528, 3: 0.00023735248933859634}","{'clf__n_components': 21.0, 'clf__tol': 2.8717191816925705e-07}","{0: {'clf__n_components': 21, 'clf__tol': 2.8717191816925705e-07}, 1: {'clf__n_components': 21, 'clf__tol': 3.91644917426176e-07}, 2: {'clf__n_components': 30, 'clf__tol': 5.958198748137238e-08}, 3: {'clf__n_components': 3, 'clf__tol': 3.855451340006997e-07}}"
35,1,0.6875802080336715,0.05040751570200838,0.6735353535353535,"(0.6404, 0.7850678733031674)","{0: 0.2848812994585589, 1: 0.3144, 2: 0.3164, 3: 0.29200000000000004}","{0: 0.028568513416998287, 1: 0.1074380165289256, 2: 0.040199979593918966, 3: 0.23859999999999992}","{0: 0.0005714289740066015, 1: 0.0004919884547680931, 2: 0.0009084442254479659, 3: 0.0016073272192550763}","{0: 1.711581531784837e-05, 1: 0.0002388363696428395, 2: 5.636852222493376e-05, 3: 4.6477227648974516e-05}","{'clf__n_components': 21.0, 'clf__tol': 5.2318090192307873e-08}","{0: {'clf__n_components': 21, 'clf__tol': 5.2318090192307873e-08}, 1: {'clf__n_components': 3, 'clf__tol': 1.2821386062062392e-06}, 2: {'clf__n_components': 12, 'clf__tol': 1.1237567661049228e-06}, 3: {'clf__n_components': 0, 'clf__tol': 3.0988248973241484e-06}}"
36,0,0.7825707349501613,0.025993657166644864,0.7864431486880465,"(0.7425032594524119, 0.8119747899159664)","{0: 0.2548937942523948, 1: 0.24656393169512714, 2: 0.39439999999999986, 3: 0.39779999999999993}","{0: 0.025099479644934197, 1: 0.04170000000000007, 2: 0.3028262422201816, 3: 0.30338740944801557}","{0: 0.0023076918841654502, 1: 0.0012057216496381355, 2: 0.004615800447482734, 3: 0.0022533592260216583}","{0: 5.536586381282149e-05, 1: 6.152709754272518e-05, 2: 0.00023371755064234136, 3: 0.00028025982872494586}","{'clf__n_components': 15.0, 'clf__tol': 4.018788313836592e-08, 'selector__num_features': 0, 'selector__num_neighbors': 162364.0}","{0: {'clf__n_components': 24, 'clf__tol': 7.465142377481629e-08, 'selector__num_features': 0, 'selector__num_neighbors': 159847.0}, 1: {'clf__n_components': 15, 'clf__tol': 4.018788313836592e-08, 'selector__num_features': 0, 'selector__num_neighbors': 162364.0}, 2: {'clf__n_components': 21, 'clf__tol': 3.7259487319074025e-08, 'selector__num_features': 7, 'selector__num_neighbors': 26820.0}, 3: {'clf__n_components': 15, 'clf__tol': 4.3317957525490675e-06, 'selector__num_features': 8, 'selector__num_neighbors': 11002.0}}"
37,1,0.6351150756781125,0.026172571409279158,0.6284000000000001,"(0.5943434343434343, 0.6679864253393666)","{0: 0.38859999999999995, 1: 0.45147855060391506, 2: 0.4586, 3: 0.45147855060391506}","{0: 0.3135394347515559, 1: 0.3141516171819202, 2: 0.3569, 3: 0.3141516171819202}","{0: 0.0014966347774502504, 1: 0.003472727513040296, 2: 0.0022429523558683477, 3: 0.003472727513040296}","{0: 0.0003398655330039705, 1: 1.6002015885082676e-06, 2: 0.00026450627502400565, 3: 1.6002015885082676e-06}","{'clf__n_components': 21.0, 'clf__tol': 5.0309812567203237e-08, 'selector__num_features': 7, 'selector__num_neighbors': 47314.0}","{0: {'clf__n_components': 21, 'clf__tol': 5.0309812567203237e-08, 'selector__num_features': 7, 'selector__num_neighbors': 47314.0}, 1: {'clf__n_components': 18, 'clf__tol': 9.228627725999558e-08, 'selector__num_features': 5, 'selector__num_neighbors': 15703.0}, 2: {'clf__n_components': 15, 'clf__tol': 1.9430596481639744e-06, 'selector__num_features': 2, 'selector__num_neighbors': 7158.0}, 3: {'clf__n_components': 9, 'clf__tol': 6.683103976795143e-08, 'selector__num_features': 5, 'selector__num_neighbors': 10299.0}}"
38,0,0.6713247683958001,0.023704381654877066,0.6822729091636655,"(0.6337535014005602, 0.7015250544662309)","{0: 0.39080000000000004, 1: 0.384, 2: 0.39400249895876727, 3: 0.3890045814244065}","{0: 0.32547699214365877, 1: 0.3088460361187634, 2: 0.3483318028772575, 3: 0.32925211713090496}","{0: 0.0005572926553744975, 1: 0.003937422335146616, 2: 0.0010780417654675117, 3: 0.0001462468573645844}","{0: 0.006523841272681345, 1: 0.003326085087271805, 2: 0.004853601782281813, 3: 0.004798039896922277}","{'clf__n_components': 15.0, 'clf__tol': 4.018788313836592e-08, 'selector__k': 8.0, 'selector__num_features': 3}","{0: {'clf__n_components': 6, 'clf__tol': 9.051658320936415e-06, 'selector__k': 9, 'selector__num_features': 3}, 1: {'clf__n_components': 15, 'clf__tol': 4.018788313836592e-08, 'selector__k': 8, 'selector__num_features': 3}, 2: {'clf__n_components': 18, 'clf__tol': 5.3126979002083044e-06, 'selector__k': 12, 'selector__num_features': 3}, 3: {'clf__n_components': 27, 'clf__tol': 1.2880546150944635e-08, 'selector__k': 6, 'selector__num_features': 4}}"
39,1,0.6947143859233615,0.04377518483312839,0.6887537993920972,"(0.6524, 0.7733785822021116)","{0: 0.30280000000000007, 1: 0.362, 2: 0.30800000000000005, 3: 0.32599999999999996}","{0: 0.3304764819916335, 1: 0.30599999999999994, 2: 0.2542597694112846, 3: 0.35700438730741757}","{0: 0.002191432428241668, 1: 0.0013524385996340363, 2: 0.004608317983871809, 3: 0.0028084828299899532}","{0: 3.8640380862178454e-05, 1: 0.0005858384923983, 2: 0.010348847734043522, 3: 0.0003025421821508018}","{'clf__n_components': 9.0, 'clf__tol': 8.272560126781223e-06, 'selector__k': 12.0, 'selector__num_features': 4}","{0: {'clf__n_components': 9, 'clf__tol': 8.272560126781223e-06, 'selector__k': 12, 'selector__num_features': 4}, 1: {'clf__n_components': 6, 'clf__tol': 1.3510630867871866e-07, 'selector__k': 3, 'selector__num_features': 4}, 2: {'clf__n_components': 12, 'clf__tol': 2.0152318508322015e-07, 'selector__k': 2, 'selector__num_features': 9}, 3: {'clf__n_components': 30, 'clf__tol': 1.0215934822362271e-08, 'selector__k': 10, 'selector__num_features': 2}}"
