,RidgeClassifier__alpha,exp_duration,model_name,random_state,test_score,test_score_variance,train_score,train_score_variance
0,5,0 days 00:00:00.080007000,ridge,684,0.8173076923076924,0.004530325443786995,0.8798076923076924,2.311390532544469e-05
1,4,0 days 00:00:00.080247000,ridge,559,0.8814102564102564,0.0012430144641683014,0.8221153846153846,0.0027967825443787017
